Childtime Children's Center,Child Care Center,3912 Honey Creek Road,Modesto,CA,95356,2095451664
Bright Horizons Tierrasanta,Child Care Center,6092 Santo Rd.,San Diego,CA,92124,8584671800
Merryhill School,Child Care Center,10249 Trinity Parkway,Stockton,CA,95219,2094740518
KinderCare Learning Center LLC,Child Care Center,2515 West Sunflower Ave,Santa Ana,CA,92704,7145404750
Childtime Children's Center,Child Care Center,27321 Nicolas Rd,Temecula,CA,92591,9516934843
Michelle Harris Family Child Care,Family Child Care Home,N/A,San Diego,CA,92126,8585867239
La Petite Academy ,Child Care Center,12664 Sabre Springs Pkwy,San Diego,CA,92128,8584867197
Barajas Family Child Care,Family Child Care Home,N/A,San Jacinto,CA,92583,7143341531
Tutor Time Learning Center at Fontana,Child Care Center,14273 Baseline Ave,Fontana,CA,92336,9093502422
KinderCare Learning Center LLC,Child Care Center,2515 E. South St.,Anaheim,CA,92806,7147745141
Noahs Ark Learning Center,Child Care Center,1410 Foothill Drive,Vista,CA,92084,7607245445
Heaven Sent,Child Care Center,520 Pine Ave.,Pacific Grove,CA,93950,8313731922
Tutor Time Child Care/Learning Center,Child Care Center,26624 Margarita Rd,Murrieta,CA,92563,9514617900
Narinder Family Child Care Home,Family Child Care Home,N/A,Yuba City,CA,95993,5306745991
ABC Child Care Village,Child Care Center,40045 Village Road,Temecula,CA,92591,9514910940
ABC Child Care ,Child Care Center,29700 Solana Way,Temecula,CA,92591,9516995251
Gonzalez Haydee Family Child Care,Family Child Care Home,N/A,Oceanside,CA,92056,7606312674
La Petite Academy at Vista,Child Care Center,725 Shadowridge Dr,Vista,CA,92083,7607270648
La Jolla Family YMCA- Torrey Pines Elementary,Child Care Center,8350 Cliffridge Ave,La Jolla,CA,92037,8584533483
Janet Anseline Welsh,Family Child Care Home,N/A,Oceanside,CA,92057,7607249246
Elizabeth Garza Family Child Care,Family Child Care Home,N/A,Vista,CA,92084,7607242759
La Petite Academy Inc-Grand Ave,Child Care Center,722 S. Grand Avenue,Diamond Bar,CA,91765,9098604009
Merry Go Round Learning Center ,Child Care Center,2749 Lemon Grove Ave,Lemon Grove,CA,91945,6194697281
Eberly Day Care,Family Child Care Home,N/A,Oceanside,CA,92056,7608064710
KinderCare Learning Centers LLC,Child Care Center,1611 Woodcreek Dr,Fairfield,CA,94534,7074262275
Childtime Children's Center,Child Care Center,3911 Honey Creek Road,Modesto,CA,95356,2095451664
Bright Horizons Tierrasanta,Child Care Center,6090 Santo Rd.,San Diego,CA,92124,8584671800
Merryhill School,Child Care Center,10250 Trinity Parkway,Stockton,CA,95219,2094740518
KinderCare Learning Center LLC,Child Care Center,2515 West Sunflower Ave,Santa Ana,CA,92704,7145404750
Childtime Children's Center,Child Care Center,27321 Nicolas Rd,Temecula,CA,92591,9516934843
Michelle Harris Family Child Care,Family Child Care Home,N/A,San Diego,CA,92126,8585867239
La Petite Academy ,Child Care Center,12668 Sabre Springs Pkwy,San Diego,CA,92128,8584867197
Barajas Family Child Care,Family Child Care Home,N/A,San Jacinto,CA,92583,7143341531
Tutor Time Learning Center at Fontana,Child Care Center,14273 Baseline Ave,Fontana,CA,92336,9093502422
KinderCare Learning Center LLC,Child Care Center,2515 E. South St.,Anaheim,CA,92806,7147745141
Noahs Ark Learning Center,Child Care Center,1410 Foothill Drive,Vista,CA,92084,7607245445
Heaven Sent,Child Care Center,520 Pine Ave.,Pacific Grove,CA,93950,8313731922
Tutor Time Child Care/Learning Center,Child Care Center,26624 Margarita Rd,Murrieta,CA,92563,9514617900
Narinder Family Child Care Home,Family Child Care Home,N/A,Yuba City,CA,95993,5306745991
ABC Child Care Village,Child Care Center,40045 Village Road,Temecula,CA,92591,9514910940
ABC Child Care ,Child Care Center,29705 Solana Way,Temecula,CA,92591,9516995251
Gonzalez Haydee Family Child Care,Family Child Care Home,N/A,Oceanside,CA,92056,7606312674
La Petite Academy at Vista,Child Care Center,725 Shadowridge Dr,Vista,CA,92083,7607270648
La Jolla Family YMCA- Torrey Pines Elementary,Child Care Center,8350 Cliffridge Ave,La Jolla,CA,92037,8584533483
Janet Anseline Welsh,Family Child Care Home,N/A,Oceanside,CA,92057,7607249246
Elizabeth Garza Family Child Care,Family Child Care Home,N/A,Vista,CA,92084,7607242759
La Petite Academy Inc-Grand Ave,Child Care Center,722 S. Grand Avenue,Diamond Bar,CA,91765,9098604009
Merry Go Round Learning Center ,Child Care Center,2749 Lemon Grove Ave,Lemon Grove,CA,91945,6194697281
Eberly Day Care,Family Child Care Home,N/A,Oceanside,CA,92056,7608064710
KinderCare Learning Centers LLC,Child Care Center,1606 Woodcreek Dr,Fairfield,CA,94534,7074262275
Learning Center Child Development Preschool,Child Care Center,17565 Los Alamos St,Fountain Valley,CA,92708,7145930753
Ivy Crest Montessori Private School,Child Care Center,2025 E. Chapman Ave.,Fullerton,CA,92831,7148796091
KinderCare Learning Center LLC,Child Care Center,453 E Foothill Blvd,San Dimas,CA,91773,9095990597
Kids' Care Club,Child Care Center,9991 Carmel Mountain Road #B8,San Diego,CA,92129,8585385437
KinderCare Learning Center LLC,Child Care Center,581 Peabody Rd,Vacaville,CA,95687,7074477685
Kindercare Learning Center LLC,Child Care Center,5396 Walnut Avenue,Irvine,CA,92604,9495516808
Poway Country Preschool,Child Care Center,14411 Norwalk Lane,Poway,CA,92064,8584864420
Hillcrest Country Day School,Child Care Center,1999 West Rd,La Habra Heights,CA,90631,5629438332
Hobbledehoy Montessori Preschool,Child Care Center,2321 Jane Ln.,Mountain View,CA,94043,6509681155
Barry Ted Moskowitz Child Care Center,Child Care Center,880 Front Street Suite 1295,San Diego,CA,92101,6195395569
Montessori School of Kearny Mesa,Child Care Center,3411 Sandrock Road,San Diego,CA,92123,8585050332
La Petite Academy - East J,Child Care Center,798 East J Street,Chula Vista,CA,91910,6194210966
KinderCare Learning Center LLC ,Child Care Center,8886 Vintage Park Dr,Sacramento,CA,95828,9166821111
New Life Figarden School,Child Care Center,4230 W Figarden Dr,Fresno,CA,93722,5592298687
Kindercare Learning Center LLC,Child Care Center,9735 Cuyamaca St,Santee,CA,92071,6195623423
Childtime Children's Center,Child Care Center,14700 Perris Blvd,Moreno Valley,CA,92553,9512420707
Campos Maritza Family Child Care,Family Child Care Home,N/A,San Diego,CA,92115,6195837180
Brown Family Child Care,Family Child Care Home,N/A,Murrieta,CA,92563,6195658667
KinderCare Learning Center LLC,Child Care Center,2354 Fenton Street,Chula Vista,CA,91914,6196569853
Sunshine House - Loma Vista Kid Zone,Child Care Center,2109 San Jose Ave,Brentwood,CA,94513,9255131113
Sylvia Alvarez-Tostado,Family Child Care Home,N/A,San Diego,CA,92154,6195756791
Paulette Johnson,Family Child Care Home,N/A,San Diego,CA,92113,6195270463
La Petite Academy Inc,Child Care Center,1910 W Kettleman Lane,Lodi,CA,95240,2093680303
KinderCare Learning Center LLC,Child Care Center,420 Natoma Station Dr,Folsom,CA,95630,9163530687
Discovery Isle Child Development Center,Child Care Center,32220 Temecula Parkway,Temecula,CA,92592,9513033055
STARS Preschool,Child Care Center,1402 Golden Hill Rd,Paso Robles,CA,93446,8052380200
KinderCare Learning Center LLC,Child Care Center,1100 Paseo Ladera,Chula Vista,CA,91910,6194821800
KinderCare Learning Center LLC ,Child Care Center,265 W. Grantline Road,Tracy,CA,95376,2098359247
Kindercare Learning Center LLC,Child Care Center,610 E Nuevo Rd,Perris,CA,92571,9519436476
Bradshaw Christian School,Child Care Center,8324 Bradshaw Rd,Sacramento,CA,95829,9166880521
"Owensbrown, Stephanie Family Child Care",Family Child Care Home,N/A,Chula Vista,CA,91913,6196211764
Avan Family Child Care,Family Child Care Home,N/A,Chula Vista,CA,91910,6199479190
KinderCare Learning Center LLC,Child Care Center,23301 Olivewood Plaza Dr.,Moreno Valley,CA,92553,9519241956
"Salvador, Ariel & Anita Family Child Care",Family Child Care Home,N/A,San Diego,CA,92123,8584679821
Copley Family YMCA - Central Elementary-Preschool,Child Care Center,4063 Polk Avenue,San Diego,CA,92105,6192809622
South Coast YMCA-Hidden Hills,Child Care Center,25141 Hidden Hills Road,Laguna Niguel,CA,92677,9495423904
ABC Childrens Center of Rancho Bernardo,Child Care Center,12145 Alta Carmel Ct.,San Diego,CA,92128,8584511663
KinderCare Learning Center LLC,Child Care Center,24369 Skyview Ridge Dr,Murrieta,CA,92562,9516960825
"Robinson Tanner, Ericka Family Child Care",Family Child Care Home,N/A,San Diego,CA,92114,8183186915
Calvary Christian Academy,Child Care Center,1771 E. Palomar St.,Chula Vista,CA,91913,6195912260
Shantell Padilla Family Child Care,Family Child Care Home,N/A,San Diego,CA,92139,6199526997
KinderCare Learning Center LLC,Child Care Center,1200 Plum Tree Rd.,Carlsbad,CA,92011,7604350001
Wee Care Preschool,Child Care Center,3580 Mt. Acadia Blvd,San Diego,CA,92111,8585600985
New Generations Learning Center Plus,Child Care Center,9874 Hibert St,San Diego,CA,92131,8582719878
KinderCare Education LLC,Child Care Center,11290 Paseo Montanoso,San Diego,CA,92127,8586721200
La Petite Academy at Oceanside,Child Care Center,4179 Avenida Dela Plata,Oceanside,CA,92056,7609415406
KinderCare Education LLC,Child Care Center,10623 Treena Street,San Diego,CA,92131,8582714700
Community Congregational Church,Child Care Center,276 F Street,Chula Vista,CA,91910,6194202046
Lisa's Lil Tikes Preschool,Child Care Center,4351 Parks Ave,La Mesa,CA,91941,6194606432
Montessori School of Oceanside,Child Care Center,3525 Cannon Road,Oceanside,CA,92056,7609413883
Childtime Learning Center,Child Care Center,700 E Esplanade Dr,Oxnard,CA,93036,8059837779
Ames Child Care Center,Child Care Center,270 R.T. Jones Road,Mountain View,CA,94035,6506045100
Merryhill School-Danbrook,Child Care Center,1901 Danbrook Dr,Sacramento,CA,95835,9162858656
Josephine Allen Family Childcare,Family Child Care Home,N/A,Oceanside,CA,92058,6197526007
Angelica's Childcare,Family Child Care Home,N/A,San Diego,CA,92126,8585365991
Scripps Exploring Academy,Child Care Center,9855 Erma Rd Suite 128,San Diego,CA,92131,8586933702
Childtime Children's Center ,Child Care Center,4278 Via Rancho Road,Oceanside,CA,92057,7609675846
"Rosemont Playschool, Inc., Mather Playschool",Child Care Center,10265 Rockingham Dr Ste 150,Sacramento,CA,95827,9163665800
Childtime Children's Center-Chula Vista,Child Care Center,770 Rancho Del Rey Parkway,Chula Vista,CA,91910,6193970165
Castles Preschool,Child Care Center,55 Jan Ct.,Chico,CA,95928,5308922273
KinderCare Learning Center LLC,Child Care Center,5445 Canyon Crest Dr,Riverside,CA,92507,9516831626
Discovery Isle Child Development Center,Child Care Center,23785 Washington Avenue,Murrieta,CA,92562,9513043033
Southwestern College Child Development Center,Child Care Center,899 Otay Lakes Road,Chula Vista,CA,91910,6192166695
Kids' Care Club,Child Care Center,10414 Craftsman Way,San Diego,CA,92127,8586757000
Bonita Country Day School,Child Care Center,625 Otay Lakes Rd,Chula Vista,CA,91913,6196560141
Kindercare Learning Center LLC,Child Care Center,3536 College Blvd.,Oceanside,CA,92056,7609402008
Mission Nazarene Child Care Center,Child Care Center,4745 Mission Gorge Pl,San Diego,CA,92120,6192873211
LUSD Lemon Crest Elementary,Child Care Center,12463 Lemon Crest Drive,Lakeside,CA,92040,6193902534
LaVorgna BASES,Child Care Center,31778 Algarve Avenue,Winchester,CA,92596,9515067061
"Reyes, Maribel Family Child Care",Family Child Care Home,N/A,Oceanside,CA,92054,7606968488
Action Day Primary Plus- Infant Center,Child Care Center,2154 Lincoln Avenue,San Jose,CA,95125,4082668188
Kindercare Learning Center LLC,Child Care Center,5141 Foothills Blvd.,Roseville,CA,95747,9167725252
Horizon Christian Preschool,Child Care Center,5331 Mt. Alifan Drive,San Diego,CA,92111,8582779376
KinderCare Learning Centers LLC,Child Care Center,2360 Pickwick Dr,Camarillo,CA,93010,8054458485
KinderCare Learning Center,Child Care Center,10110 Church Street,Rancho Cucamonga,CA,91730,9099459381
Marilla-Lakeside Early Advantage Preschool,Child Care Center,9747 Marilla Dr,Lakeside,CA,92040,6193902534
LUSD @ Winter Gardens,Child Care Center,9304 Winter Gardens Blvd,Lakeside,CA,92040,6193902534
LUSD ESS Lakeview Center,Child Care Center,9205 Lakeview Rd.,Lakeside,CA,92040,6193902534
LUSD Lindo Park,Child Care Center,12822 Lakeshore Dr.,Lakeside,CA,92040,6193902534
KinderCare Learning Center LLC,Child Care Center,2251 Sunset Blvd.,Rocklin,CA,95765,9163153399
Montessori East County Preschool - Preschool Location,Child Care Center,9840 Maine Ave,Lakeside,CA,92040,6195610902
Discovery Isle Child Development Center,Child Care Center,11740 Creek Road,Poway,CA,92064,8585361400
KinderCare Learning Center LLC,Child Care Center,6150 Agee St,San Diego,CA,92122,8584537530
Sunset Hills ESS Program,Child Care Center,9291 Oviedo St,San Diego,CA,92150,8787480010
Berumen Day Care,Family Child Care Home,N/A,Oceanside,CA,92058,7607305306
Merry Go Around,Child Care Center,9175 Kearny Villa Rd,San Diego,CA,92126,8585361008
Sonia's Family Childcare,Family Child Care Home,N/A,Vista,CA,92083,7606308676
KinderCare Education LLC,Child Care Center,1190 W. Herndon,Pinedale,CA,93650,5594387740
Montessori School of Oceanside #2,Child Care Center,4760 Oceanside Blvd Suite B10,Oceanside,CA,92056,7607248955
Hearts And Hands Christian Childcare Center and Preschool,Child Care Center,40 Blanca Lane,Watsonville,CA,95076,8317240175
Kids Town Montessori School,Child Care Center,867 Sycamore Ave.,Vista,CA,92081,7605985437
KinderCare Education LLC,Child Care Center,7920 Limonite Ave Suite G,Riverside,CA,92509,9516811440
Merryhill School - Harbour Pt.,Child Care Center,9563 Harbour Point Dr,Elk Grove,CA,95758,9166833244
Childtime Children's Center @ Pleasant Grove,Child Care Center,1271 Pleasant Grove Blvd,Roseville,CA,95747,9167830443
Maria Tanita,Family Child Care Home,N/A,San Diego,CA,92106,6192262275
"Sprowell, Elizabeth and Robert Family Child Care",Family Child Care Home,N/A,Oceanside,CA,92056,7609401953
Tutor Time Child Care Learning Center,Child Care Center,9440 Cuyamaca St,Santee,CA,92071,6194484445
All Saints Preschool ,Child Care Center,1940 Shadowridge Drive,Vista,CA,92081,7605988495
Shoreline Baptist Church/Shoreline Christian Preschool,Child Care Center,10353 Ellis Ave,Fountain Valley,CA,92708,7149626886
ChildTime Learning Center- Laguna Niguel,Child Care Center,24590 La Plata Drive,Laguna Niguel,CA,92677,9494954727
VUSD AM-PM,Child Care Center,1234 Arcadia Avenue,Vista,CA,92084,7607268179
Columbia Elementary School District,Child Care Center,10142 Old Oregon Trail,Redding,CA,96002,5302233874
KinderCare Learning Center LLC,Child Care Center,7897 Mission Grove Pkwy,Riverside,CA,92508,9517894762
Cajon Valley Union School,Child Care Center,3845 Avocado School Rd,La Mesa,CA,91941,6194416172
Childtime Children's Center,Child Care Center,8747 Sierra College Blvd.,Roseville,CA,95661,9167912530
Scripps Montessori School,Child Care Center,9939 Old Grove Rd,San Diego,CA,92131,8585663632
World Tots LA,Child Care Center,100 West 5th St,San Pedro,CA,90731,3107327697
KinderCare Learning Center LLC,Child Care Center,1470 Jamacha Rd,El Cajon,CA,92019,6195885959
Gordon Family Child Care,Family Child Care Home,N/A,Torrance,CA,90504,3103273317
Pilgrim Lutheran School-Child Care Program,Child Care Center,500 E Street,Chula Vista,CA,91910,6194206233
Tutor Time Child Care/Learning Center,Child Care Center,5805 Corporate Avenue,Cypress,CA,90630,7144841000
KinderCare Learning Center LLC,Child Care Center,3223 N Associated Rd,Fullerton,CA,92835,7149900889
"Brown, Barbara Family Day Care",Family Child Care Home,N/A,San Diego,CA,92129,8585718701
Promise Christian Preschool,Child Care Center,25664 Madison Ave,Murrieta,CA,92562,9516008201
Adventure Days Preschool,Child Care Center,10881 Tierrasanta Blvd,San Diego,CA,92124,8585605686
Santee School District Out-of-School Time Prorams- Carlton Oaks,Child Care Center,9353 Wethersfield,Santee,CA,92071,6192582363
Sherrie's Home Day Care,Family Child Care Home,N/A,Shasta Lake,CA,96019,5302751935
Hope Lutheran Dayschool,Child Care Center,55 San Fernando Way,Daly City,CA,94015,6509914673
Grace Lutheran Child Development Center,Child Care Center,3967 Park Blvd,San Diego,CA,92103,6199870181
Children's Choice Learning Connection #4,Child Care Center,1268 N. Second St.,El Cajon,CA,92021,6194421685
Alpine Children's Academy,Child Care Center,2403 Alpine Blvd,Alpine,CA,91901,6194455462
KinderCare Learning Center LLC,Child Care Center,42111 E Florida Avenue,Hemet,CA,92544,9519278194
Tutor Time Child Care/Learning Center,Child Care Center,1211 Magnolia Ave Suite 101,Corona,CA,92881,9517365886
KinderCare Education LLC,Child Care Center,4727 Calaveras Ave,Fremont,CA,94538,5107912222
Kid's World Preschool,Child Care Center,41956 Third Street,Temecula,CA,92590,9516765445
Paloma BASES,Child Care Center,42940 Via Rami,Temecula,CA,92592,9515067061
"Kids Play, Inc",Child Care Center,1664 Hilby Ave,Seaside,CA,93955,8318999000
La Petite Academy Inc,Child Care Center,28043 Seco Canyon Rd,Saugus,CA,91350,6612970977
"Hills, Sylvia's Family Child Care",Family Child Care Home,N/A,San Diego,CA,92154,6192439865
Lofton Family Child Care,Family Child Care Home,N/A,Hemet,CA,92545,9517665081
Bonita Myers Family Daycare,Family Child Care Home,N/A,El Cajon,CA,92021,6194449633
Eunice Mendoza Family Child Care,Family Child Care Home,N/A,Turlock,CA,95382,2096560242
Romo Alejandra Family Child Care,Family Child Care Home,N/A,San Diego,CA,92154,6199856214
KCE Champions LLC at Helen Casetllo Elementary,Child Care Center,9850 Fire Poppy Dr,Elk Grove,CA,95757,9166908718
Natividad Maristela,Family Child Care Home,N/A,San Diego,CA,92154,6199411404
Fun Time Family Child Care,Family Child Care Home,N/A,San Diego,CA,92154,6192718956
Julie Munoz Family Child Care,Family Child Care Home,N/A,National City,CA,91950,6197737807
Socorro Gonzales,Family Child Care Home,N/A,Murrieta,CA,92563,9516960974
Gold/Rodriguez Family Childcare,Family Child Care Home,N/A,Winchester,CA,92596,7607665132
So. Bay Fam. YMCA - Discovery Elem.,Child Care Center,1098 Camino Biscay,Chula Vista,CA,91910,6194219622
KinderCare Education LLC,Child Care Center,12135 World Trade Dr,San Diego,CA,92128,8584876444
Kindercare Learning Center @ Old Depot,Child Care Center,10036 Old Depot Plaza Road,Chatsworth,CA,91311,8188828016
Learning Universe # 302,Child Care Center,5202 N Blythe Ave,Fresno,CA,93722,5592750627
KinderCare Learning Center LLC,Child Care Center,18525 West Soledad Canyon Road,Canyon Country,CA,91351,6612519176
KinderCare Learning Center LLC,Child Care Center,2425 Oakbrook Dr.,Thousand Oaks,CA,91362,8054922495
Kindercare Learning Center LLC,Child Care Center,3760 Brockton Dr,Pleasanton,CA,94588,9258461240
Kindercare Learning Center #984,Child Care Center,150 E Leland Rd,Pittsburg,CA,94565,9254328800
KinderCare Buena Ventura,Child Care Center,1197 S Victoria Avenue,Ventura,CA,93003,8053399363
KinderCare Learning Centers LLC,Child Care Center,1650 Stoner Creek Road,City of Industry,CA,91748,6269653550
KinderCare Education LLC,Child Care Center,1741 Santa Clara Dr,Roseville,CA,95661,9167841039
KinderCare Education LLC,Child Care Center,3431 Marlee way,Rocklin,CA,95677,9166247831
KinderCare Learning Center LLC,Child Care Center,9250 Elk Grove Florin Road,Elk Grove,CA,95624,9167142772
KinderCare Learning Center LLC,Child Care Center,6820 Purslane Way,Citrus Heights,CA,95621,9167239696
KinderCare Learning Center,Child Care Center,398 S. Abel St.,Milpitas,CA,95035,4082637212
KinderCare Learning Center LLC,Child Care Center,17730 Rinaldi St.,Granada Hills,CA,91344,8183638442
Kindercare Learning Center LLC,Child Care Center,8765 Sierra College Blvd,Roseville,CA,95661,9167899898
Kindercare Learning Center LLC,Child Care Center,4308 Folsom Drive,Antioch,CA,94531,9257543137
KinderCare Learning Center LLC,Child Care Center,993 E. Champlain Avenue,Fresno,CA,93720,5594336630
Juniorversity Inc.,Child Care Center,2400 S Central Ave,Compton,CA,90220,3106383500
KinderCare Learning Center LLC,Child Care Center,10194 Foothill Blvd.,Rancho Cucamonga,CA,91730,9099896136
KinderCare Learning Center LLC ,Child Care Center,43531 22nd St W,Lancaster,CA,93536,6619483570
KinderCare Learning Center LLC,Child Care Center,11925 Amador Valley Ct.,Dublin,CA,94568,9258750400
KinderCare Learning Center LLC,Child Care Center,1101 Rose Dr,Benicia,CA,94510,7077450916
KinderCare Education LLC,Child Care Center,4108 Lone Tree Way,Antioch,CA,94531,9257541236
KinderCare Learning Centers LLC,Child Care Center,33785 Yucaipa Boulevard,Yucaipa,CA,92399,9097974713
KinderCare Learning Center LLC,Child Care Center,1730 E. Washington St,Colton,CA,92324,9098241004
KinderCare Learning Center LLC,Child Care Center,2140 S. Euclid Ave,Ontario,CA,91762,9099835007
KinderCare Learning Centers LLC,Child Care Center,1175 Via Verde Rd,San Dimas,CA,91773,9095922220
Kindercare Learning Centers LLC,Child Care Center,25507 Moulton Parkway,Aliso Viejo,CA,92656,9494700099
KinderCare Learning Center LLC,Child Care Center,3808 Townsgate Drive,San Diego,CA,92130,8587947710
KinderCare Learning Centers LLC,Child Care Center,1610 Calvary Circle,Redlands,CA,92373,9097982987
KinderCare Learning Centers LLC,Child Care Center,30059 Santa Margarita Parkway,Rancho Santa Margarita,CA,92688,9498888880
KinderCare Learning Center,Child Care Center,28672 Deerpath,Las Flores,CA,92688,9496359413
KinderCare Learning Center LLC,Child Care Center,16149 W Foothill Blvd,Fontana,CA,92335,9098232323
KinderCare Learning Center LLC,Child Care Center,1 Bearpaw,Irvine,CA,92604,9495523222
KinderCare Education at Work LLC,Child Care Center,453 La Moree Rd,San Marcos,CA,92078,7607508750
"Kindercare Learning Centers, Inc. #1180",Child Care Center,30075 Alicia Parkway,Laguna Niguel,CA,92677,9492492321
KinderCare Learning Center LLC,Child Care Center,26915 Estanciero Dr.,Mission Viejo,CA,92691,9498307660
KinderCare Learning Center LLC,Child Care Center,13815 Peyton Dr,Chino Hills,CA,91709,9094642255
KinderCare Learning Center LLC,Child Care Center,1001 E Imperial Hwy.,Placentia,CA,92870,7145284161
"Childtime Childcare, Inc. @ Sierra",Child Care Center,2091 Sierra Ave,Clovis,CA,93611,5592975013
Kindercare Learning Center LLC,Child Care Center,15931 Los Serranos Country Club Drive,Chino Hills,CA,91709,9096067744
KinderCare Learning Center LLC,Child Care Center,10063 Paseo Montril,San Diego,CA,92129,8584843232
KinderCare Learning Center,Child Care Center,3602 Wheeler Ave,La Verne,CA,91750,9095968200
KinderCare Education at Work LLC,Child Care Center,10068 Pacific Heights Blvd,San Diego,CA,92121,8585469115
Sue's Happy Days Preschool and Childcare,Family Child Care Home,N/A,Sacramento,CA,95826,9163635437
Good Shepherd Montessori School,Child Care Center,1349 W 25th St,San Pedro,CA,90732,3105474986
"Kindercare Learning Center, Inc. @ Oakdale",Child Care Center,1240 Oakdale Road,Modesto,CA,95355,2095215351
Kindercare Learning Center LLC,Child Care Center,1785 Villa Ave,Clovis,CA,93612,5592971888
KinderCare Education LLC,Child Care Center,10704 Scott Ave,Whittier,CA,90604,5629477100
KinderCare Learning Center,Child Care Center,1006 Metro Center Blvd,Foster City,CA,94404,6505736023
KinderCare Education LLC ,Child Care Center,13618 Bear Valley Road,Victorville,CA,92392,7609498539
KinderCare Learning Center LLC,Child Care Center,3959 Park Drive,El Dorado Hills,CA,95762,9169390391
Kindercare Learning Center LLC,Child Care Center,9394 Bruceville Road,Elk Grove,CA,95758,9166844040
Knowledge Learning Corp,Child Care Center,6095 Main St,Concord,CA,94517,9256729370
KinderCare Education LLC,Child Care Center,2321 Eagle Rock Ave,Brentwood,CA,94513,9255134118
KinderCare Education LLC,Child Care Center,2850 Cherry Lane,Walnut Creek,CA,94597,9259436777
KinderCare Learning Centers LLC,Child Care Center,1000 Corporate Dr,Ladera Ranch,CA,92694,9493640193
Tutor Time Child Care Learning Center @ Upland,Child Care Center,1001 E 16th St,Upland,CA,91784,9095790170
Three Angels Preschool and Infant Center,Child Care Center,6300 Telephone Rd,Ventura,CA,93003,8056390363
Alta Vista Child Development Center,Child Care Center,810 Knob Hill,Redondo Beach,CA,90277,3107988683
Maria Ledezma,Family Child Care Home,N/A,San Diego,CA,92154,6194285517
KinderCare Learning Center LLC,Child Care Center,9946 Slater Avenue,Fountain Valley,CA,92708,7149684451
Kindercare Learning Center LLC,Child Care Center,9150 Peets Street,Elk Grove,CA,95758,9166849284
H Street Children's Center,Child Care Center,194 H St,Chula Vista,CA,91910,6194224904
Connie Vera,Family Child Care Home,N/A,Chula Vista,CA,91911,6196568579
All Saints Episcopal Preschool,Child Care Center,648 Eucalyptus Ave.,Vista,CA,92084,7609456908
KinderCare Leaning Center,Child Care Center,1515 Cirby Way,Roseville,CA,95561,9167822101
Lujan Family Child Care,Family Child Care Home,N/A,Sun City,CA,92586,9516790824
Poway Unified School District - Painted Rock ESS,Child Care Center,16711 Martincoit Road,Poway,CA,92064,8585212800
The Little Country Preschool,Child Care Center,1571 S. Hale Ave.,Escondido,CA,92029,7607460881
Loma Linda Children Center,Child Care Center,25227 Shepardson Dr ,Loma Linda,CA,92354,9097960161
Cottage Kids Children's Center,Child Care Center,2796 Cottage Way,Sacramento,CA,95825,9169792011
Little Scholars Preschool,Child Care Center,1605 Kimball Rd,Red Bluff,CA,96080,5305273932
"Williams, V & L., Santiago, C. Family Child Care",Family Child Care Home,N/A,Spring Valley,CA,91977,6194798694
