provider_name,type_of_care,address,city,state,zip,phone
Treehouse Christian Preschool 2,Child Care Center,3301 Coffee Rd.,Modesto,CA,95355,(209) 312-9449
Sefi Day School,Child Care Center,380 Telegraph Canyon Rd.,Chula Vista,CA,91910,(619) 422-7115
Childtime Children's Center,Child Care Center,3912 Honey Creek Road,Modesto,CA,95356,(209) 545-1664
Bright Horizons Tierrasanta,Child Care Center,6092 Santo Rd.,San Diego,CA,92124,(858) 467-1800
Merryhill School,Child Care Center,10249 Trinity Parkway,Stockton,CA,95219,(209) 474-0518
KinderCare Learning Center LLC,Child Care Center,2515 West Sunflower Ave,Santa Ana,CA,92704,(714) 540-4750
Childtime Children's Center,Child Care Center,27321 Nicolas Rd,Temecula,CA,92591,(951) 693-4843
Michelle Harris Family Child Care,Family Child Care Home,,San Diego,CA,92126,(858) 586-7239
La Petite Academy ,Child Care Center,12664 Sabre Springs Pkwy,San Diego,CA,92128,(858) 486-7197
Barajas Family Child Care,Family Child Care Home,,San Jacinto,CA,92583,(714) 334-1531
Tutor Time Learning Center at Fontana,Child Care Center,14273 Baseline Ave,Fontana,CA,92336,(909) 350-2422
KinderCare Learning Center LLC,Child Care Center,2515 E. South St.,Anaheim,CA,92806,(714) 774-5141
Noahs Ark Learning Center,Child Care Center,1410 Foothill Drive,Vista,CA,92084,(760) 724-5445
Heaven Sent,Child Care Center,520 Pine Ave.,Pacific Grove,CA,93950,(831) 373-1922
Tutor Time Child Care/Learning Center,Child Care Center,26624 Margarita Rd,Murrieta,CA,92563,(951) 461-7900
Narinder Family Child Care Home,Family Child Care Home,,Yuba City,CA,95993,(530) 674-5991
ABC Child Care Village,Child Care Center,40045 Village Road,Temecula,CA,92591,(951) 491-0940
ABC Child Care ,Child Care Center,29700 Solana Way,Temecula,CA,92591,(951) 699-5251
Gonzalez Haydee Family Child Care,Family Child Care Home,,Oceanside,CA,92056,(760) 631-2674
La Petite Academy at Vista,Child Care Center,725 Shadowridge Dr,Vista,CA,92083,(760) 727-0648
La Jolla Family YMCA- Torrey Pines Elementary,Child Care Center,8350 Cliffridge Ave,La Jolla,CA,92037,(858) 453-3483
Janet Anseline Welsh,Family Child Care Home,,Oceanside,CA,92057,(760) 724-9246
Elizabeth Garza Family Child Care,Family Child Care Home,,Vista,CA,92084,(760) 724-2759
La Petite Academy Inc-Grand Ave,Child Care Center,722 S. Grand Avenue,Diamond Bar,CA,91765,(909) 860-4009
Merry Go Round Learning Center ,Child Care Center,2749 Lemon Grove Ave,Lemon Grove,CA,91945,(619) 469-7281
Eberly Day Care,Family Child Care Home,,Oceanside,CA,92056,(760) 806-4710
KinderCare Learning Centers LLC,Child Care Center,1611 Woodcreek Dr,Fairfield,CA,94534,(707) 426-2275
Childtime Children's Center,Child Care Center,3911 Honey Creek Road,Modesto,CA,95356,(209) 545-1664
Bright Horizons Tierrasanta,Child Care Center,6090 Santo Rd.,San Diego,CA,92124,(858) 467-1800
Merryhill School,Child Care Center,10250 Trinity Parkway,Stockton,CA,95219,(209) 474-0518
La Petite Academy ,Child Care Center,12668 Sabre Springs Pkwy,San Diego,CA,92128,(858) 486-7197
ABC Child Care ,Child Care Center,29705 Solana Way,Temecula,CA,92591,(951) 699-5251
KinderCare Learning Centers LLC,Child Care Center,1606 Woodcreek Dr,Fairfield,CA,94534,(707) 426-2275
Learning Center Child Development Preschool,Child Care Center,17565 Los Alamos St,Fountain Valley,CA,92708,(714) 593-0753
Ivy Crest Montessori Private School,Child Care Center,2025 E. Chapman Ave.,Fullerton,CA,92831,(714) 879-6091
KinderCare Learning Center LLC,Child Care Center,453 E Foothill Blvd,San Dimas,CA,91773,(909) 599-0597
Kids' Care Club,Child Care Center,9991 Carmel Mountain Road #B8,San Diego,CA,92129,(858) 538-5437
KinderCare Learning Center LLC,Child Care Center,581 Peabody Rd,Vacaville,CA,95687,(707) 447-7685
Kindercare Learning Center LLC,Child Care Center,5396 Walnut Avenue,Irvine,CA,92604,(949) 551-6808
Poway Country Preschool,Child Care Center,14411 Norwalk Lane,Poway,CA,92064,(858) 486-4420
Hillcrest Country Day School,Child Care Center,1999 West Rd,La Habra Heights,CA,90631,(562) 943-8332
Hobbledehoy Montessori Preschool,Child Care Center,2321 Jane Ln.,Mountain View,CA,94043,(650) 968-1155
Barry Ted Moskowitz Child Care Center,Child Care Center,880 Front Street Suite 1295,San Diego,CA,92101,(619) 539-5569
Montessori School of Kearny Mesa,Child Care Center,3411 Sandrock Road,San Diego,CA,92123,(858) 505-0332
La Petite Academy - East J,Child Care Center,798 East J Street,Chula Vista,CA,91910,(619) 421-0966
KinderCare Learning Center LLC ,Child Care Center,8886 Vintage Park Dr,Sacramento,CA,95828,(916) 682-1111
New Life Figarden School,Child Care Center,4230 W Figarden Dr,Fresno,CA,93722,(559) 229-8687
Kindercare Learning Center LLC,Child Care Center,9735 Cuyamaca St,Santee,CA,92071,(619) 562-3423
Childtime Children's Center,Child Care Center,14700 Perris Blvd,Moreno Valley,CA,92553,(951) 242-0707
Campos Maritza Family Child Care,Family Child Care Home,,San Diego,CA,92115,(619) 583-7180
Brown Family Child Care,Family Child Care Home,,Murrieta,CA,92563,(619) 565-8667
KinderCare Learning Center LLC,Child Care Center,2354 Fenton Street,Chula Vista,CA,91914,(619) 656-9853
Sunshine House - Loma Vista Kid Zone,Child Care Center,2109 San Jose Ave,Brentwood,CA,94513,(925) 513-1113
Sylvia Alvarez-Tostado,Family Child Care Home,,San Diego,CA,92154,(619) 575-6791
Paulette Johnson,Family Child Care Home,,San Diego,CA,92113,(619) 527-0463
La Petite Academy Inc,Child Care Center,1910 W Kettleman Lane,Lodi,CA,95240,(209) 368-0303
KinderCare Learning Center LLC,Child Care Center,420 Natoma Station Dr,Folsom,CA,95630,(916) 353-0687
Discovery Isle Child Development Center,Child Care Center,32220 Temecula Parkway,Temecula,CA,92592,(951) 303-3055
STARS Preschool,Child Care Center,1402 Golden Hill Rd,Paso Robles,CA,93446,(805) 238-0200
KinderCare Learning Center LLC,Child Care Center,1100 Paseo Ladera,Chula Vista,CA,91910,(619) 482-1800
KinderCare Learning Center LLC ,Child Care Center,265 W. Grantline Road,Tracy,CA,95376,(209) 835-9247
Kindercare Learning Center LLC,Child Care Center,610 E Nuevo Rd,Perris,CA,92571,(951) 943-6476
Bradshaw Christian School,Child Care Center,8324 Bradshaw Rd,Sacramento,CA,95829,(916) 688-0521
"Owensbrown, Stephanie Family Child Care",Family Child Care Home,,Chula Vista,CA,91913,(619) 621-1764
Avan Family Child Care,Family Child Care Home,,Chula Vista,CA,91910,(619) 947-9190
KinderCare Learning Center LLC,Child Care Center,23301 Olivewood Plaza Dr.,Moreno Valley,CA,92553,(951) 924-1956
"Salvador, Ariel & Anita Family Child Care",Family Child Care Home,,San Diego,CA,92123,(858) 467-9821
Copley Family YMCA - Central Elementary-Preschool,Child Care Center,4063 Polk Avenue,San Diego,CA,92105,(619) 280-9622
South Coast YMCA-Hidden Hills,Child Care Center,25141 Hidden Hills Road,Laguna Niguel,CA,92677,(949) 542-3904
ABC Childrens Center of Rancho Bernardo,Child Care Center,12145 Alta Carmel Ct.,San Diego,CA,92128,(858) 451-1663
KinderCare Learning Center LLC,Child Care Center,24369 Skyview Ridge Dr,Murrieta,CA,92562,(951) 696-0825
"Robinson Tanner, Ericka Family Child Care",Family Child Care Home,,San Diego,CA,92114,(818) 318-6915
Calvary Christian Academy,Child Care Center,1771 E. Palomar St.,Chula Vista,CA,91913,(619) 591-2260
Shantell Padilla Family Child Care,Family Child Care Home,,San Diego,CA,92139,(619) 952-6997
KinderCare Learning Center LLC,Child Care Center,1200 Plum Tree Rd.,Carlsbad,CA,92011,(760) 435-0001
Wee Care Preschool,Child Care Center,3580 Mt. Acadia Blvd,San Diego,CA,92111,(858) 560-0985
New Generations Learning Center Plus,Child Care Center,9874 Hibert St,San Diego,CA,92131,(858) 271-9878
KinderCare Education LLC,Child Care Center,11290 Paseo Montanoso,San Diego,CA,92127,(858) 672-1200
La Petite Academy at Oceanside,Child Care Center,4179 Avenida Dela Plata,Oceanside,CA,92056,(760) 941-5406
KinderCare Education LLC,Child Care Center,10623 Treena Street,San Diego,CA,92131,(858) 271-4700
Community Congregational Church,Child Care Center,276 F Street,Chula Vista,CA,91910,(619) 420-2046
Lisa's Lil Tikes Preschool,Child Care Center,4351 Parks Ave,La Mesa,CA,91941,(619) 460-6432
Montessori School of Oceanside,Child Care Center,3525 Cannon Road,Oceanside,CA,92056,(760) 941-3883
Childtime Learning Center,Child Care Center,700 E Esplanade Dr,Oxnard,CA,93036,(805) 983-7779
Ames Child Care Center,Child Care Center,270 R.T. Jones Road,Mountain View,CA,94035,(650) 604-5100
Merryhill School-Danbrook,Child Care Center,1901 Danbrook Dr,Sacramento,CA,95835,(916) 285-8656
Josephine Allen Family Childcare,Family Child Care Home,,Oceanside,CA,92058,(619) 752-6007
Angelica's Childcare,Family Child Care Home,,San Diego,CA,92126,(858) 536-5991
Scripps Exploring Academy,Child Care Center,9855 Erma Rd Suite 128,San Diego,CA,92131,(858) 693-3702
Childtime Children's Center ,Child Care Center,4278 Via Rancho Road,Oceanside,CA,92057,(760) 967-5846
"Rosemont Playschool, Inc., Mather Playschool",Child Care Center,10265 Rockingham Dr Ste 150,Sacramento,CA,95827,(916) 366-5800
Childtime Children's Center-Chula Vista,Child Care Center,770 Rancho Del Rey Parkway,Chula Vista,CA,91910,(619) 397-0165
Castles Preschool,Child Care Center,55 Jan Ct.,Chico,CA,95928,(530) 892-2273
KinderCare Learning Center LLC,Child Care Center,5445 Canyon Crest Dr,Riverside,CA,92507,(951) 683-1626
Discovery Isle Child Development Center,Child Care Center,23785 Washington Avenue,Murrieta,CA,92562,(951) 304-3033
Southwestern College Child Development Center,Child Care Center,899 Otay Lakes Road,Chula Vista,CA,91910,(619) 216-6695
Kids' Care Club,Child Care Center,10414 Craftsman Way,San Diego,CA,92127,(858) 675-7000
Bonita Country Day School,Child Care Center,625 Otay Lakes Rd,Chula Vista,CA,91913,(619) 656-0141
Kindercare Learning Center LLC,Child Care Center,3536 College Blvd.,Oceanside,CA,92056,(760) 940-2008
Mission Nazarene Child Care Center,Child Care Center,4745 Mission Gorge Pl,San Diego,CA,92120,(619) 287-3211
LUSD Lemon Crest Elementary,Child Care Center,12463 Lemon Crest Drive,Lakeside,CA,92040,(619) 390-2534
LaVorgna BASES,Child Care Center,31778 Algarve Avenue,Winchester,CA,92596,(951) 506-7061
"Reyes, Maribel Family Child Care",Family Child Care Home,,Oceanside,CA,92054,(760) 696-8488
Action Day Primary Plus- Infant Center,Child Care Center,2154 Lincoln Avenue,San Jose,CA,95125,(408) 266-8188
Kindercare Learning Center LLC,Child Care Center,5141 Foothills Blvd.,Roseville,CA,95747,(916) 772-5252
Horizon Christian Preschool,Child Care Center,5331 Mt. Alifan Drive,San Diego,CA,92111,(858) 277-9376
KinderCare Learning Centers LLC,Child Care Center,2360 Pickwick Dr,Camarillo,CA,93010,(805) 445-8485
KinderCare Learning Center,Child Care Center,10110 Church Street,Rancho Cucamonga,CA,91730,(909) 945-9381
Marilla-Lakeside Early Advantage Preschool,Child Care Center,9747 Marilla Dr,Lakeside,CA,92040,(619) 390-2534
LUSD @ Winter Gardens,Child Care Center,9304 Winter Gardens Blvd,Lakeside,CA,92040,(619) 390-2534
LUSD ESS Lakeview Center,Child Care Center,9205 Lakeview Rd.,Lakeside,CA,92040,(619) 390-2534
LUSD Lindo Park,Child Care Center,12822 Lakeshore Dr.,Lakeside,CA,92040,(619) 390-2534
KinderCare Learning Center LLC,Child Care Center,2251 Sunset Blvd.,Rocklin,CA,95765,(916) 315-3399
Montessori East County Preschool - Preschool Location,Child Care Center,9840 Maine Ave,Lakeside,CA,92040,(619) 561-0902
Discovery Isle Child Development Center,Child Care Center,11740 Creek Road,Poway,CA,92064,(858) 536-1400
KinderCare Learning Center LLC,Child Care Center,6150 Agee St,San Diego,CA,92122,(858) 453-7530
Sunset Hills ESS Program,Child Care Center,9291 Oviedo St,San Diego,CA,92150,(878) 748-0010
Berumen Day Care,Family Child Care Home,,Oceanside,CA,92058,(760) 730-5306
Merry Go Around,Child Care Center,9175 Kearny Villa Rd,San Diego,CA,92126,(858) 536-1008
Sonia's Family Childcare,Family Child Care Home,,Vista,CA,92083,(760) 630-8676
KinderCare Education LLC,Child Care Center,1190 W. Herndon,Pinedale,CA,93650,(559) 438-7740
Montessori School of Oceanside #2,Child Care Center,4760 Oceanside Blvd Suite B10,Oceanside,CA,92056,(760) 724-8955
Hearts And Hands Christian Childcare Center and Preschool,Child Care Center,40 Blanca Lane,Watsonville,CA,95076,(831) 724-0175
Kids Town Montessori School,Child Care Center,867 Sycamore Ave.,Vista,CA,92081,(760) 598-5437
KinderCare Education LLC,Child Care Center,7920 Limonite Ave Suite G,Riverside,CA,92509,(951) 681-1440
Merryhill School - Harbour Pt.,Child Care Center,9563 Harbour Point Dr,Elk Grove,CA,95758,(916) 683-3244
Childtime Children's Center @ Pleasant Grove,Child Care Center,1271 Pleasant Grove Blvd,Roseville,CA,95747,(916) 783-0443
Maria Tanita,Family Child Care Home,,San Diego,CA,92106,(619) 226-2275
"Sprowell, Elizabeth and Robert Family Child Care",Family Child Care Home,,Oceanside,CA,92056,(760) 940-1953
Tutor Time Child Care Learning Center,Child Care Center,9440 Cuyamaca St,Santee,CA,92071,(619) 448-4445
All Saints Preschool ,Child Care Center,1940 Shadowridge Drive,Vista,CA,92081,(760) 598-8495
Shoreline Baptist Church/Shoreline Christian Preschool,Child Care Center,10353 Ellis Ave,Fountain Valley,CA,92708,(714) 962-6886
ChildTime Learning Center- Laguna Niguel,Child Care Center,24590 La Plata Drive,Laguna Niguel,CA,92677,(949) 495-4727
VUSD AM-PM,Child Care Center,1234 Arcadia Avenue,Vista,CA,92084,(760) 726-8179
Columbia Elementary School District,Child Care Center,10142 Old Oregon Trail,Redding,CA,96002,(530) 223-3874
KinderCare Learning Center LLC,Child Care Center,7897 Mission Grove Pkwy,Riverside,CA,92508,(951) 789-4762
Cajon Valley Union School,Child Care Center,3845 Avocado School Rd,La Mesa,CA,91941,(619) 441-6172
Childtime Children's Center,Child Care Center,8747 Sierra College Blvd.,Roseville,CA,95661,(916) 791-2530
Scripps Montessori School,Child Care Center,9939 Old Grove Rd,San Diego,CA,92131,(858) 566-3632
World Tots LA,Child Care Center,100 West 5th St,San Pedro,CA,90731,(310) 732-7697
KinderCare Learning Center LLC,Child Care Center,1470 Jamacha Rd,El Cajon,CA,92019,(619) 588-5959
Gordon Family Child Care,Family Child Care Home,,Torrance,CA,90504,(310) 327-3317
Pilgrim Lutheran School-Child Care Program,Child Care Center,500 E Street,Chula Vista,CA,91910,(619) 420-6233
Tutor Time Child Care/Learning Center,Child Care Center,5805 Corporate Avenue,Cypress,CA,90630,(714) 484-1000
KinderCare Learning Center LLC,Child Care Center,3223 N Associated Rd,Fullerton,CA,92835,(714) 990-0889
"Brown, Barbara Family Day Care",Family Child Care Home,,San Diego,CA,92129,(858) 571-8701
Promise Christian Preschool,Child Care Center,25664 Madison Ave,Murrieta,CA,92562,(951) 600-8201
Adventure Days Preschool,Child Care Center,10881 Tierrasanta Blvd,San Diego,CA,92124,(858) 560-5686
Santee School District Out-of-School Time Prorams- Carlton Oaks,Child Care Center,9353 Wethersfield,Santee,CA,92071,(619) 258-2363
Sherrie's Home Day Care,Family Child Care Home,,Shasta Lake,CA,96019,(530) 275-1935
Hope Lutheran Dayschool,Child Care Center,55 San Fernando Way,Daly City,CA,94015,(650) 991-4673
Grace Lutheran Child Development Center,Child Care Center,3967 Park Blvd,San Diego,CA,92103,(619) 987-0181
Children's Choice Learning Connection #4,Child Care Center,1268 N. Second St.,El Cajon,CA,92021,(619) 442-1685
Alpine Children's Academy,Child Care Center,2403 Alpine Blvd,Alpine,CA,91901,(619) 445-5462
KinderCare Learning Center LLC,Child Care Center,42111 E Florida Avenue,Hemet,CA,92544,(951) 927-8194
Tutor Time Child Care/Learning Center,Child Care Center,1211 Magnolia Ave Suite 101,Corona,CA,92881,(951) 736-5886
KinderCare Education LLC,Child Care Center,4727 Calaveras Ave,Fremont,CA,94538,(510) 791-2222
Kid's World Preschool,Child Care Center,41956 Third Street,Temecula,CA,92590,(951) 676-5445
Paloma BASES,Child Care Center,42940 Via Rami,Temecula,CA,92592,(951) 506-7061
"Kids Play, Inc",Child Care Center,1664 Hilby Ave,Seaside,CA,93955,(831) 899-9000
La Petite Academy Inc,Child Care Center,28043 Seco Canyon Rd,Saugus,CA,91350,(661) 297-0977
"Hills, Sylvia's Family Child Care",Family Child Care Home,,San Diego,CA,92154,(619) 243-9865
Lofton Family Child Care,Family Child Care Home,,Hemet,CA,92545,(951) 766-5081
Bonita Myers Family Daycare,Family Child Care Home,,El Cajon,CA,92021,(619) 444-9633
Eunice Mendoza Family Child Care,Family Child Care Home,,Turlock,CA,95382,(209) 656-0242
Romo Alejandra Family Child Care,Family Child Care Home,,San Diego,CA,92154,(619) 985-6214
KCE Champions LLC at Helen Casetllo Elementary,Child Care Center,9850 Fire Poppy Dr,Elk Grove,CA,95757,(916) 690-8718
Natividad Maristela,Family Child Care Home,,San Diego,CA,92154,(619) 941-1404
Fun Time Family Child Care,Family Child Care Home,,San Diego,CA,92154,(619) 271-8956
Julie Munoz Family Child Care,Family Child Care Home,,National City,CA,91950,(619) 773-7807
Socorro Gonzales,Family Child Care Home,,Murrieta,CA,92563,(951) 696-0974
Gold/Rodriguez Family Childcare,Family Child Care Home,,Winchester,CA,92596,(760) 766-5132
So. Bay Fam. YMCA - Discovery Elem.,Child Care Center,1098 Camino Biscay,Chula Vista,CA,91910,(619) 421-9622
KinderCare Education LLC,Child Care Center,12135 World Trade Dr,San Diego,CA,92128,(858) 487-6444
Kindercare Learning Center @ Old Depot,Child Care Center,10036 Old Depot Plaza Road,Chatsworth,CA,91311,(818) 882-8016
Learning Universe # 302,Child Care Center,5202 N Blythe Ave,Fresno,CA,93722,(559) 275-0627
KinderCare Learning Center LLC,Child Care Center,18525 West Soledad Canyon Road,Canyon Country,CA,91351,(661) 251-9176
KinderCare Learning Center LLC,Child Care Center,2425 Oakbrook Dr.,Thousand Oaks,CA,91362,(805) 492-2495
Kindercare Learning Center LLC,Child Care Center,3760 Brockton Dr,Pleasanton,CA,94588,(925) 846-1240
Kindercare Learning Center #984,Child Care Center,150 E Leland Rd,Pittsburg,CA,94565,(925) 432-8800
KinderCare Buena Ventura,Child Care Center,1197 S Victoria Avenue,Ventura,CA,93003,(805) 339-9363
KinderCare Learning Centers LLC,Child Care Center,1650 Stoner Creek Road,City of Industry,CA,91748,(626) 965-3550
KinderCare Education LLC,Child Care Center,1741 Santa Clara Dr,Roseville,CA,95661,(916) 784-1039
KinderCare Education LLC,Child Care Center,3431 Marlee way,Rocklin,CA,95677,(916) 624-7831
KinderCare Learning Center LLC,Child Care Center,9250 Elk Grove Florin Road,Elk Grove,CA,95624,(916) 714-2772
KinderCare Learning Center LLC,Child Care Center,6820 Purslane Way,Citrus Heights,CA,95621,(916) 723-9696
KinderCare Learning Center,Child Care Center,398 S. Abel St.,Milpitas,CA,95035,(408) 263-7212
KinderCare Learning Center LLC,Child Care Center,17730 Rinaldi St.,Granada Hills,CA,91344,(818) 363-8442
Kindercare Learning Center LLC,Child Care Center,8765 Sierra College Blvd,Roseville,CA,95661,(916) 789-9898
Kindercare Learning Center LLC,Child Care Center,4308 Folsom Drive,Antioch,CA,94531,(925) 754-3137
KinderCare Learning Center LLC,Child Care Center,993 E. Champlain Avenue,Fresno,CA,93720,(559) 433-6630
Juniorversity Inc.,Child Care Center,2400 S Central Ave,Compton,CA,90220,(310) 638-3500
KinderCare Learning Center LLC,Child Care Center,10194 Foothill Blvd.,Rancho Cucamonga,CA,91730,(909) 989-6136
KinderCare Learning Center LLC ,Child Care Center,43531 22nd St W,Lancaster,CA,93536,(661) 948-3570
KinderCare Learning Center LLC,Child Care Center,11925 Amador Valley Ct.,Dublin,CA,94568,(925) 875-0400
KinderCare Learning Center LLC,Child Care Center,1101 Rose Dr,Benicia,CA,94510,(707) 745-0916
KinderCare Education LLC,Child Care Center,4108 Lone Tree Way,Antioch,CA,94531,(925) 754-1236
KinderCare Learning Centers LLC,Child Care Center,33785 Yucaipa Boulevard,Yucaipa,CA,92399,(909) 797-4713
KinderCare Learning Center LLC,Child Care Center,1730 E. Washington St,Colton,CA,92324,(909) 824-1004
KinderCare Learning Center LLC,Child Care Center,2140 S. Euclid Ave,Ontario,CA,91762,(909) 983-5007
KinderCare Learning Centers LLC,Child Care Center,1175 Via Verde Rd,San Dimas,CA,91773,(909) 592-2220
Kindercare Learning Centers LLC,Child Care Center,25507 Moulton Parkway,Aliso Viejo,CA,92656,(949) 470-0099
KinderCare Learning Center LLC,Child Care Center,3808 Townsgate Drive,San Diego,CA,92130,(858) 794-7710
KinderCare Learning Centers LLC,Child Care Center,1610 Calvary Circle,Redlands,CA,92373,(909) 798-2987
KinderCare Learning Centers LLC,Child Care Center,30059 Santa Margarita Parkway,Rancho Santa Margarita,CA,92688,(949) 888-8880
KinderCare Learning Center,Child Care Center,28672 Deerpath,Las Flores,CA,92688,(949) 635-9413
KinderCare Learning Center LLC,Child Care Center,16149 W Foothill Blvd,Fontana,CA,92335,(909) 823-2323
KinderCare Learning Center LLC,Child Care Center,1 Bearpaw,Irvine,CA,92604,(949) 552-3222
KinderCare Education at Work LLC,Child Care Center,453 La Moree Rd,San Marcos,CA,92078,(760) 750-8750
"Kindercare Learning Centers, Inc. #1180",Child Care Center,30075 Alicia Parkway,Laguna Niguel,CA,92677,(949) 249-2321
KinderCare Learning Center LLC,Child Care Center,26915 Estanciero Dr.,Mission Viejo,CA,92691,(949) 830-7660
KinderCare Learning Center LLC,Child Care Center,13815 Peyton Dr,Chino Hills,CA,91709,(909) 464-2255
KinderCare Learning Center LLC,Child Care Center,1001 E Imperial Hwy.,Placentia,CA,92870,(714) 528-4161
"Childtime Childcare, Inc. @ Sierra",Child Care Center,2091 Sierra Ave,Clovis,CA,93611,(559) 297-5013
Kindercare Learning Center LLC,Child Care Center,15931 Los Serranos Country Club Drive,Chino Hills,CA,91709,(909) 606-7744
KinderCare Learning Center LLC,Child Care Center,10063 Paseo Montril,San Diego,CA,92129,(858) 484-3232
KinderCare Learning Center,Child Care Center,3602 Wheeler Ave,La Verne,CA,91750,(909) 596-8200
KinderCare Education at Work LLC,Child Care Center,10068 Pacific Heights Blvd,San Diego,CA,92121,(858) 546-9115
Sue's Happy Days Preschool and Childcare,Family Child Care Home,,Sacramento,CA,95826,(916) 363-5437
Good Shepherd Montessori School,Child Care Center,1349 W 25th St,San Pedro,CA,90732,(310) 547-4986
"Kindercare Learning Center, Inc. @ Oakdale",Child Care Center,1240 Oakdale Road,Modesto,CA,95355,(209) 521-5351
Kindercare Learning Center LLC,Child Care Center,1785 Villa Ave,Clovis,CA,93612,(559) 297-1888
KinderCare Education LLC,Child Care Center,10704 Scott Ave,Whittier,CA,90604,(562) 947-7100
KinderCare Learning Center,Child Care Center,1006 Metro Center Blvd,Foster City,CA,94404,(650) 573-6023
KinderCare Education LLC ,Child Care Center,13618 Bear Valley Road,Victorville,CA,92392,(760) 949-8539
KinderCare Learning Center LLC,Child Care Center,3959 Park Drive,El Dorado Hills,CA,95762,(916) 939-0391
Kindercare Learning Center LLC,Child Care Center,9394 Bruceville Road,Elk Grove,CA,95758,(916) 684-4040
Knowledge Learning Corp,Child Care Center,6095 Main St,Concord,CA,94517,(925) 672-9370
KinderCare Education LLC,Child Care Center,2321 Eagle Rock Ave,Brentwood,CA,94513,(925) 513-4118
KinderCare Education LLC,Child Care Center,2850 Cherry Lane,Walnut Creek,CA,94597,(925) 943-6777
KinderCare Learning Centers LLC,Child Care Center,1000 Corporate Dr,Ladera Ranch,CA,92694,(949) 364-0193
Tutor Time Child Care Learning Center @ Upland,Child Care Center,1001 E 16th St,Upland,CA,91784,(909) 579-0170
Three Angels Preschool and Infant Center,Child Care Center,6300 Telephone Rd,Ventura,CA,93003,(805) 639-0363
Alta Vista Child Development Center,Child Care Center,810 Knob Hill,Redondo Beach,CA,90277,(310) 798-8683
Maria Ledezma,Family Child Care Home,,San Diego,CA,92154,(619) 428-5517
KinderCare Learning Center LLC,Child Care Center,9946 Slater Avenue,Fountain Valley,CA,92708,(714) 968-4451
Kindercare Learning Center LLC,Child Care Center,9150 Peets Street,Elk Grove,CA,95758,(916) 684-9284
H Street Children's Center,Child Care Center,194 H St,Chula Vista,CA,91910,(619) 422-4904
Connie Vera,Family Child Care Home,,Chula Vista,CA,91911,(619) 656-8579
All Saints Episcopal Preschool,Child Care Center,648 Eucalyptus Ave.,Vista,CA,92084,(760) 945-6908
KinderCare Leaning Center,Child Care Center,1515 Cirby Way,Roseville,CA,95561,(916) 782-2101
Lujan Family Child Care,Family Child Care Home,,Sun City,CA,92586,(951) 679-0824
Poway Unified School District - Painted Rock ESS,Child Care Center,16711 Martincoit Road,Poway,CA,92064,(858) 521-2800
The Little Country Preschool,Child Care Center,1571 S. Hale Ave.,Escondido,CA,92029,(760) 746-0881
Loma Linda Children Center,Child Care Center,25227 Shepardson Dr ,Loma Linda,CA,92354,(909) 796-0161
